contract_address,chain,current_reason,detection_method,deployer_address,is_contract,is_verified,contract_name,implementation_name,public_tags,private_tags,token_name,token_symbol,token_type,holders_count,market_cap_usd,coingecko_url,deployer_public_tags,deployer_private_tags,preliminary_verdict,deployer_confirmed_count,has_bytecode_cache,bytecode_flags,drain_count,drain_tx_count,drain_ratio,reason_class,deployer_oli_tag_count,phase_b_verdict,frameworks_matched,source_chars,deployer_other_fp_count,tx_count_phasec,distinct_interactors_phasec,revert_rate_phasec,phase_c_verdict,phase_c_rationale
0xd6ecaa61c371c75e88cd6fd8ee6946fe81832b6d,optimism,Behavioral confirmation: bot 0x7c00a740643f3ffd4931666ad41392e3d969c6f5 trapped in tx 37385291e6b9a8eac2bc8b1912308f7b6b,bytecode_pattern,0x695ec089890fee3d2dbf35403c12aafc98ca06fe,True,False,,,,,,,,,,,,,NEEDS_REVIEW,1,False,,0,0,,behavioral,0,NEEDS_REVIEW,,0,0,13,6,0.385,STILL_AMBIGUOUS,"interactors=6, tx=13, revert=38.5%, source_chars=0, verified=False"
0xd09290f599ee74ab3914d496cd2c70eea3f51790,optimism,Behavioral confirmation: bot 0x21fe28d5a0b6d5dbd1d72ceb3f0326d420989db9 trapped in tx 4e0ee6a4ddea844b090fa978afdfed5ec4,deployer_history,0x695ec089890fee3d2dbf35403c12aafc98ca06fe,True,False,,,,,,,,,,,,,NEEDS_REVIEW,1,False,,0,0,,behavioral,0,NEEDS_REVIEW,,0,0,80,4,0.025,STILL_AMBIGUOUS,"interactors=4, tx=80, revert=2.5%, source_chars=0, verified=False"
0x1575ee0dc2925714d41a8cd4757b137b40fc3f38,base,Behavioral confirmation: bot 0x454b6849377f812eb7d5f474125c35dca484e9c1 trapped in tx 29f0759c4ca611900460860eaee8da9b21,deployer_history,0xa18fe0cd8d8f4d00275f94ad67b871f212e232c2,True,False,,,,,,,,,,,,,NEEDS_REVIEW,0,False,,0,0,,behavioral,0,NEEDS_REVIEW,,0,0,22,6,0.045,STILL_AMBIGUOUS,"interactors=6, tx=22, revert=4.5%, source_chars=0, verified=False"
0xc5c31b0fee0126ce004d8900b2fc99022e0be0a9,base,Behavioral confirmation: bot 0x212677d771871a31d40706d52446d664b51ca1a5 trapped in tx 8e32c516b71ade89ab557feaebd2d455bf,bytecode_pattern,0xc0619bb479af57e9e76c1fb24bde919364291dca,True,True,CROSSHASHES -- test prints,,,,CROSSHASHES -- test prints,t#e#s#t,ERC-721,1,,,,,NEEDS_REVIEW,0,False,,0,0,,behavioral,0,STILL_NEEDS_REVIEW,OpenZeppelin|OpenZeppelin-Ownable,193481,0,7,2,0.143,LIKELY_FP_FROM_SOURCE,"verified source matches: OpenZeppelin, OpenZeppelin-Ownable"
0x91a65ef694ab6341a2ef0e2ddbd312893c04168c,base,Behavioral confirmation: bot 0x0aa9b164bea1c9a223834cfc899b7130fcb92f6b trapped in tx 8137d94aaf4106a694f47daa7290c38b49,deployer_history,0x2da812af33f6ed2ad7a0b8a233a6e9dde8caee72,True,True,GangstrStaking,,,,,,,,,,,,NEEDS_REVIEW,1,False,,0,0,,behavioral,0,NEEDS_REVIEW,ERC20-interface|OpenZeppelin|OpenZeppelin-ERC20|OpenZeppelin-Ownable,49866,1,2043,83,0.014,LIKELY_FP_FROM_SOURCE,"verified source matches: ERC20-interface, OpenZeppelin, OpenZeppelin-ERC20, OpenZeppelin-Ownable"
0x288ea8bcb51d53ad361d786efa904c401904af70,base,Behavioral confirmation: bot 0x9f4ca119e74dc92bc50e3a4c263251b7fc6a2087 trapped in tx 19ed67b28683b5e6aaa4ae215fa9dcd005,bytecode_pattern,0x235f2934e01c52ec6f0432934f0273c5308c6ceb,True,True,RNBWStaking,,,,,,,,,,,,NEEDS_REVIEW,0,False,,0,0,,behavioral,0,NEEDS_REVIEW,ERC20-interface|OpenZeppelin|OpenZeppelin-ERC20,220120,0,516,265,0.002,LIKELY_FP_FROM_SOURCE,"verified source matches: ERC20-interface, OpenZeppelin, OpenZeppelin-ERC20"
0xa90a6da0c449838d394cd914ef202197b338aad2,base,Behavioral confirmation: bot 0x56da6c5b926b6ad35b707b086e13d62f7f6c4adb trapped in tx 9a87835260949ba04dc0d2d1a9aff0bfe1,bytecode_pattern,0x4bc075967dd9652b601192cf5a31963408cfe3a1,True,False,,,,,,,,,,,,,NEEDS_REVIEW,1,False,,0,0,,behavioral,0,NEEDS_REVIEW,,0,0,513,130,0.006,LIKELY_FP_FROM_ACTIVITY,"diverse activity: 130 interactors, 513 txs, 0.6% revert"
0x1b47cce4e847264771f500c8e91adc3d0b8a8101,arbitrum,Behavioral confirmation: bot 0x606cf076f927b021a8094aaa9a3efd6e1b9a7622 trapped in tx 5925b80d5501582ae70864496e5ed103ff,deployer_history,0x5c89e16cfedb529a0a4632a8e2440a600f6af274,True,False,,,,,,,,,,,,,NEEDS_REVIEW,0,False,,0,0,,behavioral,0,NEEDS_REVIEW,,0,0,3496,55,0.008,LIKELY_FP_FROM_ACTIVITY,"diverse activity: 55 interactors, 3496 txs, 0.8% revert"
0xdc1affb53cb999a53829227309da4f559856f63c,base,Behavioral confirmation: bot 0x9328b6c52173262cf94832b30725f6bbbbbb5e32 trapped in tx 2141a2da38d5da51054a6e22d39f49bc85,deployer_history,0x2da812af33f6ed2ad7a0b8a233a6e9dde8caee72,True,False,,,,,,,,,,,,,NEEDS_REVIEW,1,False,,0,0,,behavioral,0,NEEDS_REVIEW,,0,1,41,11,0.024,LIKELY_FP_FROM_CLUSTER,deployer has 1 other LIKELY_FP contract(s) in Phase A — siblings likely legitimate
0x063a82b39ff29e747e33c397d6b89563bbacc504,base,Behavioral confirmation: bot 0xb3a29e6bee26663772e4d9d38b453a5add44433e trapped in tx c292a92deb7fd27cdf475158302222a6ee,bytecode_pattern,0x0e150daa9184573e05f0691b55ddd3e993b0651b,True,False,,,,,,,,,,,,,NEEDS_REVIEW,0,False,,0,0,,behavioral,0,NEEDS_REVIEW,,0,0,4,4,1.000,LIKELY_TP_FROM_REVERT_PROFILE,"4 interactors, 100.0% revert rate — trap signature"
