contract_address,chain,current_reason,detection_method,deployer_address,is_contract,is_verified,contract_name,implementation_name,public_tags,private_tags,token_name,token_symbol,token_type,holders_count,market_cap_usd,coingecko_url,deployer_public_tags,deployer_private_tags,preliminary_verdict,deployer_confirmed_count,has_bytecode_cache,bytecode_flags,drain_count,drain_tx_count,drain_ratio,reason_class,deployer_oli_tag_count,phase_b_verdict
0x5dd183d1b0e8bcb9700f2d3790b23b4fd33f3000,base,Behavioral confirmation: bot 0xc0ffee410b604164c6394b1e918362a70bf8d091 trapped in tx b3c389886cda670c1f1070ed8c93ea4f69,bytecode_pattern,0xc0ffeefeed8b9d271445cf5d1d24d74d2ca4235e,True,False,,,,,,,,,,,,,NEEDS_REVIEW,203,False,,0,0,,behavioral,0,LIKELY_TP_RECIDIVIST
0x613501a5a46d106bb96c71673e0c929f40498524,base,Self-loop: deployer 0xb1429561d54cf6c93aeca6e41b17a659f6dac28e called own contract in reverted tx at block 45968851 (BOT,bytecode_pattern,0xb1429561d54cf6c93aeca6e41b17a659f6dac28e,True,False,,,,,,,,,,,,,NEEDS_REVIEW,4,False,,0,0,,self_loop,0,LIKELY_TP_RECIDIVIST
0xc831ce472cad9eedd8387beb0cfc3bfbbff652ad,base,Behavioral confirmation: bot 0x5c38a0ab51ac64d93203247eefbc5b6b3ee7f4f6 trapped in tx a45cf26773eb3777c454a011d066c55dec,bytecode_pattern,0x669476d352d74954363424508dae4fb9ea02a8a0,True,False,,,,,,,,,,,,,NEEDS_REVIEW,3,False,,0,0,,behavioral,0,LIKELY_TP_RECIDIVIST
0x581d256577e84dac9d4c8d1609c2477b93b41d3b,base,Behavioral confirmation: bot 0xc0ffee191fbaefa0cfe3071677fec4c32255545a trapped in tx ddc0b750640c326d1fe664d6ccd02c22a0,deployer_history,0x604be06b9f6b6663f78e755db0c5965eb2337e3d,True,False,,,,,,,,,,,,,NEEDS_REVIEW,194,False,,0,0,,behavioral,0,LIKELY_TP_RECIDIVIST
0x032963337b837415209ca53a46946a73cceb53aa,base,Behavioral confirmation: bot 0x41f3116a92f7bd97d0ae82430731391661bb0d09 trapped in tx 6a024062593720e5f1f6362f573ed8779f,bytecode_pattern,0xf9b20e4c6b33451d476d428861c0c1a605bfcb8d,True,True,XLLSteak,,,,xl-LSteak,xl-LS,ERC-20,45,,,,,LIKELY_FP,,,,,,,,,ALREADY_MIGRATED
0x3ec5ce6187f1e3c5bb28edad3f52511d224350f4,base,Behavioral confirmation: bot 0x495fc776766df0ef9171654117f7488cd3a2f75d trapped in tx d616a32701195fdbd52370c2014caabd6d,deployer_history,0xf9b20e4c6b33451d476d428861c0c1a605bfcb8d,True,True,YieldDrip,,,,,,,,,,,,NEEDS_REVIEW,1,False,,0,0,,behavioral,0,NEEDS_REVIEW
0x030c2b28f54351bc9d59b157ee92f4dc119dd3c8,base,Behavioral confirmation: bot 0xf3b5e21b1916af651278666a18128b8245b7ead4 trapped in tx 15db8fd2f38fb88d985135723aa7a87e4c,deployer_history,0xf9b20e4c6b33451d476d428861c0c1a605bfcb8d,True,False,,,,,,,,,,,,,NEEDS_REVIEW,1,False,,0,0,,behavioral,0,NEEDS_REVIEW
0x4f7177d220b0b86f44fd5fee405725711a872e61,base,Behavioral confirmation: bot 0xc0ffee445a22e6228cfb77ec0483c426fc856161 trapped in tx a2d843e00258df9910d4387e32d4392531,deployer_history,0x604be06b9f6b6663f78e755db0c5965eb2337e3d,True,False,,,,,,,,,,,,,NEEDS_REVIEW,194,False,,0,0,,behavioral,0,LIKELY_TP_RECIDIVIST
0x00efff5e2cb1a01841d332f1be4f9a431f493afc,base,Behavioral confirmation: bot 0xc0ffee31b1c8c3427a9ed9373bef867fc895d966 trapped in tx 5dd0e78d1b2c5ba643098e174f203a05df,deployer_history,0xc0ffeefeed8b9d271445cf5d1d24d74d2ca4235e,True,False,,,,,,,,,,,,,NEEDS_REVIEW,203,False,,0,0,,behavioral,0,LIKELY_TP_RECIDIVIST
0xf0feb4987b649acc295c672c170cb92bfc6c7b28,base,Behavioral confirmation: bot 0xc0ffee49332f85fbc89fb1bfaa14d13bf42e8da9 trapped in tx 6b2806c9e73726601c036bbcca72f2827d,bytecode_pattern,0x604be06b9f6b6663f78e755db0c5965eb2337e3d,True,False,,,,,,,,,,,,,NEEDS_REVIEW,194,False,,0,0,,behavioral,0,LIKELY_TP_RECIDIVIST
